drug_use_freq,grade,sex,bmi,race4,drunk_driving,text_driving,carrying_weapon,suicide_attempt,quit_smoke,physical_fight,early_sex,screening_use,heavy_screen_use,sleeping_time,enough_sleep,smoking_status,binge_drinking,seat_belt,grades_school,smoke_age,alcohol_age,age_initial_alcohol,age_initial_smoking
No Drug Use,10th Grade,male,20.3081,Black or African American,No,No,No,No,Never Smoke,Yes,Yes,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Light Dose,10th Grade,male,23.6208,White,No,Yes,No,No,No,No,No,0.5,No,7,No,Light Smoker,Light Binge Drinking,Most of the time or Always,Not sure,15 or 16 years old,13 or 14 years old,13.5,15.5
No Drug Use,10th Grade,male,20.0893,Black or African American,No,Yes,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Sometimes,Mostly C's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,male,17.9663,White,No,No,No,No,Never Smoke,Yes,No,0.5,No,8,Yes,Never Smoker,No Binge Drinking,Never or Rarely,Mostly C's,never,never,NA,NA
Heavy Dose,10th Grade,male,21.9201,White,Yes,Yes,No,Yes,Never Smoke,No,Yes,10,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,9th Grade,male,23.6996,White,No,No,No,No,Never Smoke,No,No,2.5,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,28.125,White,No,No,No,No,Never Smoke,No,No,2.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,21.4697,White,No,No,No,No,Yes,Yes,No,1,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,28.4452,White,No,No,No,No,Never Smoke,No,No,2.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Heavy Dose,9th Grade,male,NA,White,Yes,Yes,Yes,Yes,No,Yes,Yes,10,Yes,4,No,Heavy Smoker,Heavy Binge Drinking,Never or Rarely,None of these grades,8 years old or younger,8 years old or younger,8,8
No Drug Use,9th Grade,male,22.4986,White,No,No,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,17.3616,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,13 or 14 years old,never,NA,13.5
No Drug Use,9th Grade,male,25.6229,White,No,No,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,19.8802,White,No,No,No,No,Never Smoke,No,No,3.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,23.7033,Hispanic/Latino,No,No,No,Yes,Never Smoke,No,No,1.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,14.843,White,No,No,No,No,Never Smoke,No,No,0.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,18.2006,All other Races,No,No,No,No,Never Smoke,No,No,4,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,9 or 10 years old,9.5,NA
No Drug Use,9th Grade,male,22.2171,White,No,Yes,No,No,Never Smoke,No,No,1,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,18.9936,White,Yes,No,No,Yes,Never Smoke,No,No,5,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,9 or 10 years old,9.5,NA
No Drug Use,9th Grade,male,23.8581,White,No,No,No,No,Never Smoke,Yes,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,31.8433,White,No,No,No,No,No,Yes,No,0,No,5,No,Heavy Smoker,Light Binge Drinking,Most of the time or Always,Mostly B's,11 or 12 years old,8 years old or younger,8,11.5
No Drug Use,9th Grade,male,19.8478,White,No,Yes,No,No,Never Smoke,No,No,9,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,NA,White,No,No,No,No,Never Smoke,No,No,0,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,15 or 16 years old,never,NA,15.5
No Drug Use,9th Grade,male,38.9657,White,No,No,No,No,Never Smoke,No,No,8,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly Below C's,never,never,NA,NA
No Drug Use,9th Grade,male,21.3601,White,No,No,No,No,No,No,Yes,4,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,26.8408,White,No,No,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,9 or 10 years old,13 or 14 years old,13.5,9.5
No Drug Use,9th Grade,male,21.6609,White,Yes,No,No,No,Yes,No,Yes,10,Yes,4,No,Heavy Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,11 or 12 years old,8 years old or younger,8,11.5
No Drug Use,9th Grade,male,33.4599,All other Races,No,Yes,No,No,Never Smoke,No,No,6,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,28.68,Hispanic/Latino,No,Yes,No,No,Yes,No,No,1.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
No Drug Use,9th Grade,male,35,White,No,No,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,29.1204,White,No,Yes,No,No,Never Smoke,Yes,No,0.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,male,17.182,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,4,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Light Dose,10th Grade,male,20.0417,White,No,No,No,No,No,No,No,3.5,No,7,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,9th Grade,male,21.0665,White,No,No,No,No,Never Smoke,No,No,1.5,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,17.5,White,No,Yes,No,No,Never Smoke,Yes,No,5,Yes,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,11 or 12 years old,11.5,NA
No Drug Use,9th Grade,male,NA,Black or African American,Yes,Yes,No,No,Never Smoke,No,No,5,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,20.8936,White,No,Yes,No,No,Yes,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,15 or 16 years old,15 or 16 years old,15.5,15.5
No Drug Use,9th Grade,male,20.6612,White,No,No,No,No,Yes,No,No,5,Yes,8,Yes,Light Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,15 or 16 years old,never,NA,15.5
Light Dose,9th Grade,male,25.7157,White,No,No,No,No,Yes,Yes,No,6,Yes,7,No,Light Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,13 or 14 years old,never,NA,13.5
Light Dose,9th Grade,male,21.9723,White,Yes,No,No,No,Never Smoke,Yes,No,5,Yes,8,Yes,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,9 or 10 years old,9.5,NA
Light Dose,9th Grade,male,27.9377,Hispanic/Latino,No,No,No,No,No,No,No,0.5,No,8,Yes,Light Smoker,Light Binge Drinking,Most of the time or Always,Mostly B's,8 years old or younger,11 or 12 years old,11.5,8
Light Dose,9th Grade,male,20.4048,White,No,Yes,No,Yes,Never Smoke,Yes,No,6,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
Light Dose,9th Grade,male,22.7069,White,No,Yes,No,Yes,Never Smoke,Yes,Yes,10,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,11 or 12 years old,11.5,NA
No Drug Use,9th Grade,male,31.5494,Hispanic/Latino,No,Yes,No,Yes,Never Smoke,Yes,Yes,5,Yes,7,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly C's,11 or 12 years old,13 or 14 years old,13.5,11.5
Light Dose,9th Grade,male,15.7606,White,No,No,No,No,Never Smoke,Yes,Yes,4,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,11 or 12 years old,11.5,NA
Light Dose,10th Grade,male,28.4198,Hispanic/Latino,No,No,Yes,Yes,Never Smoke,Yes,Yes,5,Yes,7,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly C's,15 or 16 years old,13 or 14 years old,13.5,15.5
No Drug Use,9th Grade,male,19.9967,White,No,Yes,No,No,Never Smoke,Yes,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,13 or 14 years old,13.5,NA
Heavy Dose,9th Grade,male,19.7033,White,No,No,No,No,Never Smoke,No,No,1.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,29.0586,Hispanic/Latino,Yes,No,No,No,Never Smoke,No,No,5,Yes,5,No,Never Smoker,No Binge Drinking,Never or Rarely,Mostly Below C's,never,15 or 16 years old,15.5,NA
Light Dose,9th Grade,male,25.6088,White,No,No,No,No,Never Smoke,No,Yes,6,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,19.2555,White,No,Yes,No,No,Never Smoke,Yes,No,2,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,9 or 10 years old,never,NA,9.5
No Drug Use,9th Grade,male,19.285,White,No,Yes,No,No,Never Smoke,No,No,3,No,10,Yes,Never Smoker,No Binge Drinking,Sometimes,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,19.6393,Black or African American,No,Yes,No,No,Never Smoke,Yes,Yes,1,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,20.7581,Hispanic/Latino,No,Yes,No,No,Never Smoke,Yes,No,2,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,22.9936,White,No,No,No,No,Yes,No,No,9,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,11 or 12 years old,13 or 14 years old,13.5,11.5
No Drug Use,9th Grade,male,22.8842,White,No,No,No,No,Never Smoke,No,No,0.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,25.2699,White,No,Yes,No,No,Never Smoke,No,No,0,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,20.8576,White,No,Yes,No,No,Never Smoke,Yes,No,3.5,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,13 or 14 years old,15 or 16 years old,15.5,13.5
No Drug Use,9th Grade,male,23.0352,White,No,Yes,No,No,Never Smoke,No,No,1,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,17.8823,White,No,No,No,No,Never Smoke,No,No,7,Yes,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,21.8395,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,9 or 10 years old,9.5,NA
No Drug Use,9th Grade,male,26.5781,White,No,Yes,No,No,Never Smoke,Yes,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,22.9075,Black or African American,No,Yes,No,No,No,No,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,male,18.4815,White,No,No,No,No,Never Smoke,No,No,0.5,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,20.9917,White,No,No,No,Yes,Never Smoke,No,No,10,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,19.8931,White,No,No,No,No,Never Smoke,No,No,1,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,9th Grade,male,28.4938,White,No,No,No,No,Never Smoke,Yes,No,8,Yes,5,No,Never Smoker,No Binge Drinking,Sometimes,None of these grades,never,never,NA,NA
No Drug Use,9th Grade,male,19.1589,White,No,Yes,No,No,Never Smoke,No,No,4.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,male,22.8082,White,No,Yes,Yes,No,Never Smoke,No,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,21.6978,White,No,No,No,No,Never Smoke,No,No,1,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,8 years old or younger,never,NA,8
Light Dose,9th Grade,male,20.3171,White,No,No,No,No,Yes,No,Yes,4,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,9th Grade,male,26.0346,White,No,Yes,No,No,Never Smoke,No,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Heavy Dose,9th Grade,male,26.9983,White,No,Yes,No,No,Never Smoke,No,Yes,0,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly Below C's,8 years old or younger,11 or 12 years old,11.5,8
No Drug Use,10th Grade,male,26.9522,Black or African American,No,Yes,No,No,No,No,No,9,Yes,10,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,male,34.2994,White,No,Yes,No,No,Never Smoke,No,No,6,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,29.7698,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,23.7438,White,No,Yes,No,No,Never Smoke,No,No,10,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Heavy Dose,10th Grade,male,25.7643,Black or African American,Yes,Yes,Yes,No,No,Yes,No,4,No,7,No,Never Smoker,Light Binge Drinking,Never or Rarely,Mostly C's,8 years old or younger,9 or 10 years old,9.5,8
No Drug Use,10th Grade,male,24.1579,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,6,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,37.9167,White,Yes,No,No,Yes,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
Light Dose,9th Grade,male,35.1688,Black or African American,No,No,No,No,Never Smoke,No,Yes,10,Yes,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,9th Grade,male,18.6119,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,19.633,All other Races,No,Yes,No,No,Never Smoke,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,21.817,All other Races,No,Yes,No,No,Never Smoke,Yes,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,male,22.4012,White,No,No,No,No,Never Smoke,No,No,0.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,22.0789,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,5,Yes,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,10th Grade,male,17.4279,White,No,Yes,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
